Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
Color Sublime Revlon ,RP RVL COLOR SUBLIME 5.4 75ml/2.65oz,2,0,,13.55,27.1,8007376050143,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 6 75ml/2.65oz,4,0,,13.55,54.2,8007376050044,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 6.1 75ml/2.65oz,2,0,,13.55,27.1,8007376050150,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 6.66 75ml/2.65oz,0,0,,0,0,8007376050372,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7 75ml/2.65oz0,5,0,,13.55,67.75,8007376050051,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7.1 75ml/2.65oz,1,0,,13.55,13.55,8007376050174,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7.12 75ml/2.65oz,0,0,,0,0,8007376050389,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7.24 75ml/2.65oz,3,0,,13.55,40.65,8007376054301,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7.3 75ml/2.65oz,4,0,,13.55,54.2,8007376050181,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7.32 75ml/2.65oz,3,0,,13.55,40.65,8007376050396,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 7.4 75ml/2.65oz*,2,0,,13.55,27.1,8007376050198,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 77.40  75 ml ,4,0,,13.55,54.2,,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 8 75ml/2.65oz,0,0,,0,0,8007376050068,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 8.04 75ml/2.65oz,3,0,,13.55,40.65,8007376050419,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 8.35 75ml/2.65oz,3,0,,13.55,40.65,8007376050433,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 9 75ml/2.65oz,3,0,,13.55,40.65,8007376050075,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 9.12 75ml/2.65oz,5,0,,13.55,67.75,8007376050440,Stock technique,20.00 %
